DataSeriesID,SI_Mass,LnMass,Locomotor Trait,TraitValue,TempTraitValue,Temperature,TempKelvin,1/kT,TempType,Environment,TaxaID,Kingdom,Phylum,Class,Order,Family,Genus,Species,CommonName,Thermy,TrophicGroup
1925,79378700,18.189740628264,Maximum Speed,4.1,0.640282524488095,37,310.15,37.4172720485064,Body-Direct,Water,Balaena mysticetus,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenidae,Balaena,mysticetus,Bowhead whale,Endotherm,Carnivore
1926,9200000,16.0347140420193,Maximum Speed,3.3,0.515349348978222,37,310.15,37.4172720485064,Body-Direct,Water,Balaenoptera acutorostrata,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,gallus,Minke whale,Endotherm,Carnivore
1927,45000000,17.6221730477346,Maximum Speed,8.2,1.28056504897619,37,310.15,37.4172720485064,Body-Direct,Water,Balaenoptera borealis,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,borealis,Sei whale,Endotherm,Carnivore
1928,40000000,17.5043900120782,Maximum Speed,8.2,1.28056504897619,37,310.15,37.4172720485064,Body-Direct,Water,Balaenoptera edeni,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,edeni,Bryde's whale,Endotherm,Carnivore
1929,113398000,18.5464143124181,Maximum Speed,10.2,1.59289798775087,37,310.15,37.4172720485064,Body-Direct,Water,Balaenoptera musculus,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,musculus,Galapagos sea lion,Endotherm,Carnivore
1930,54431084,17.8124459456999,Maximum Speed,8.2,1.28056504897619,37,310.15,37.4172720485064,Body-Direct,Water,Balaenoptera physalus,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,physalus,Fin whale,Endotherm,Carnivore
1931,1381640,14.1387817573353,Maximum Speed,6.1,0.952615463262775,37,310.15,37.4172720485064,Body-Direct,Water,Delphinapterus leucas,Animalia,Chordata,Mammalia,Cetartiodactyla,Monodontidae,Delphinapterus,leucas,Chicken Butt,Endotherm,Carnivore
1932,200000,12.2060726455302,Maximum Speed,9.3,1.45234816530226,37,310.15,37.4172720485064,Body-Direct,Water,Delphinus delphis,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Delphinus,delphis,Short-beaked common dolphin,Endotherm,Carnivore
1933,35000000,17.3708586194537,Maximum Speed,4.4,0.687132465304297,37,310.15,37.4172720485064,Body-Direct,Water,Eschrichtius robustus,Animalia,Chordata,Mammalia,Cetartiodactyla,Eschrichtiidae,Eschrichtius,robustus,Gray whale,Endotherm,Carnivore
1934,65000000,17.9898978278599,Maximum Speed,4.1,0.640282524488095,37,310.15,37.4172720485064,Body-Direct,Water,Eubalaena glacialis,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenidae,Eubalaena,glacialis,North Atlantic right whale,Endotherm,Carnivore
